Location,Year,TFR
Andhra Pradesh,1971,4.599999904632568
Andhra Pradesh,1972,4.699999809265137
Andhra Pradesh,1973,4.199999809265137
Andhra Pradesh,1974,4.599999904632568
Andhra Pradesh,1975,4.599999904632568
Andhra Pradesh,1976,4.400000095367432
Andhra Pradesh,1977,4.099999904632568
Andhra Pradesh,1978,4.400000095367432
Andhra Pradesh,1979,4
Andhra Pradesh,1980,3.799999952316284
Andhra Pradesh,1981,4
Andhra Pradesh,1982,3.9000000953674316
Andhra Pradesh,1983,3.9000000953674316
Andhra Pradesh,1984,4
Andhra Pradesh,1985,3.700000047683716
Andhra Pradesh,1986,3.799999952316284
Andhra Pradesh,1987,3.5999999046325684
Andhra Pradesh,1988,3.299999952316284
Andhra Pradesh,1989,3.0999999046325684
Andhra Pradesh,1990,3.0999999046325684
Andhra Pradesh,1991,3
Andhra Pradesh,1992,2.799999952316284
Andhra Pradesh,1993,2.700000047683716
Andhra Pradesh,1994,2.700000047683716
Andhra Pradesh,1995,2.700000047683716
Andhra Pradesh,1996,2.5
Andhra Pradesh,1997,2.5
Andhra Pradesh,1998,2.4000000953674316
Andhra Pradesh,1999,2.4000000953674316
Andhra Pradesh,2000,2.299999952316284
Andhra Pradesh,2001,2.299999952316284
Andhra Pradesh,2002,2.200000047683716
Andhra Pradesh,2003,2.200000047683716
Andhra Pradesh,2004,2.0999999046325684
Andhra Pradesh,2005,2
Andhra Pradesh,2006,2
Andhra Pradesh,2007,1.899999976158142
Andhra Pradesh,2008,1.7999999523162842
Andhra Pradesh,2009,1.899999976158142
Andhra Pradesh,2010,1.7999999523162842
Andhra Pradesh,2011,1.7999999523162842
Andhra Pradesh,2012,1.7999999523162842
Andhra Pradesh,2013,1.7999999523162842
Andhra Pradesh,2014,1.7999999523162842
Andhra Pradesh,2015,1.7000000476837158
Andhra Pradesh,2016,1.7000000476837158
Andhra Pradesh,2017,1.600000023841858
Andhra Pradesh,2018,1.600000023841858
Andhra Pradesh,2019,1.5
Andhra Pradesh,2020,1.5
Andhra Pradesh,2021,1.5
Andhra Pradesh,2022,1.600000023841858
Andhra Pradesh,2023,1.5
Assam,1971,5.699999809265137
Assam,1972,5.099999904632568
Assam,1973,4.800000190734863
Assam,1974,4.599999904632568
Assam,1975,4.099999904632568
Assam,1976,4.5
Assam,1977,4
Assam,1978,4
Assam,1979,4.300000190734863
Assam,1980,4
Assam,1981,4.099999904632568
Assam,1982,4.199999809265137
Assam,1983,4.199999809265137
Assam,1984,4.300000190734863
Assam,1985,4.099999904632568
Assam,1986,4
Assam,1987,4
Assam,1988,3.799999952316284
Assam,1989,3.4000000953674316
Assam,1990,3.4000000953674316
Assam,1991,3.5
Assam,1992,3.4000000953674316
Assam,1993,3.299999952316284
Assam,1994,3.799999952316284
Assam,1995,3.5
Assam,1996,3.200000047683716
Assam,1997,3.200000047683716
Assam,1998,3.200000047683716
Assam,1999,3.200000047683716
Assam,2000,3.0999999046325684
Assam,2001,3
Assam,2002,3
Assam,2003,2.9000000953674316
Assam,2004,2.9000000953674316
Assam,2005,2.9000000953674316
Assam,2006,2.700000047683716
Assam,2007,2.700000047683716
Assam,2008,2.5999999046325684
Assam,2009,2.5999999046325684
Assam,2010,2.5
Assam,2011,2.4000000953674316
Assam,2012,2.4000000953674316
Assam,2013,2.299999952316284
Assam,2014,2.299999952316284
Assam,2015,2.299999952316284
Assam,2016,2.299999952316284
Assam,2017,2.299999952316284
Assam,2018,2.200000047683716
Assam,2019,2.200000047683716
Assam,2020,2.0999999046325684
Assam,2021,2.0999999046325684
Assam,2022,2.0999999046325684
Assam,2023,2
Bihar,1981,5.699999809265137
Bihar,1982,5.599999904632568
Bihar,1983,5.5
Bihar,1984,5.900000095367432
Bihar,1985,5.400000095367432
Bihar,1986,5.199999809265137
Bihar,1987,5.300000190734863
Bihar,1988,5.400000095367432
Bihar,1989,5.099999904632568
Bihar,1990,4.800000190734863
Bihar,1991,4.400000095367432
Bihar,1992,4.599999904632568
Bihar,1993,4.599999904632568
Bihar,1994,4.599999904632568
Bihar,1995,4.5
Bihar,1996,4.5
Bihar,1997,4.400000095367432
Bihar,1998,4.300000190734863
Bihar,1999,4.5
Bihar,2000,4.5
Bihar,2001,4.400000095367432
Bihar,2002,4.300000190734863
Bihar,2003,4.199999809265137
Bihar,2004,4.300000190734863
Bihar,2005,4.300000190734863
Bihar,2006,4.199999809265137
Bihar,2007,3.9000000953674316
Bihar,2008,3.9000000953674316
Bihar,2009,3.9000000953674316
Bihar,2010,3.700000047683716
Bihar,2011,3.5999999046325684
Bihar,2012,3.5
Bihar,2013,3.4000000953674316
Bihar,2014,3.200000047683716
Bihar,2015,3.200000047683716
Bihar,2016,3.299999952316284
Bihar,2017,3.200000047683716
Bihar,2018,3.200000047683716
Bihar,2019,3.0999999046325684
Bihar,2020,3
Bihar,2021,3
Bihar,2022,3
Bihar,2023,2.799999952316284
Chhattisgarh,2004,3.299999952316284
Chhattisgarh,2005,3.4000000953674316
Chhattisgarh,2006,3.299999952316284
Chhattisgarh,2007,3.0999999046325684
Chhattisgarh,2008,3
Chhattisgarh,2009,3
Chhattisgarh,2010,2.799999952316284
Chhattisgarh,2011,2.700000047683716
Chhattisgarh,2012,2.700000047683716
Chhattisgarh,2013,2.5999999046325684
Chhattisgarh,2014,2.5999999046325684
Chhattisgarh,2015,2.5
Chhattisgarh,2016,2.5
Chhattisgarh,2017,2.4000000953674316
Chhattisgarh,2018,2.4000000953674316
Chhattisgarh,2019,2.299999952316284
Chhattisgarh,2020,2.200000047683716
Chhattisgarh,2021,2.200000047683716
Chhattisgarh,2022,2.299999952316284
Chhattisgarh,2023,2.200000047683716
Delhi,2004,2.0999999046325684
Delhi,2005,2.0999999046325684
Delhi,2006,2.0999999046325684
Delhi,2007,2
Delhi,2008,2
Delhi,2009,1.899999976158142
Delhi,2010,1.899999976158142
Delhi,2011,1.7999999523162842
Delhi,2012,1.7999999523162842
Delhi,2014,1.7000000476837158
Delhi,2015,1.7000000476837158
Delhi,2016,1.600000023841858
Delhi,2017,1.5
Delhi,2018,1.5
Delhi,2019,1.5
Delhi,2020,1.399999976158142
Delhi,2021,1.399999976158142
Delhi,2022,1.2999999523162842
Delhi,2023,1.2000000476837158
Gujarat,1971,5.599999904632568
Gujarat,1972,5.599999904632568
Gujarat,1973,4.900000095367432
Gujarat,1974,5.400000095367432
Gujarat,1975,5.099999904632568
Gujarat,1976,5.199999809265137
Gujarat,1977,4.800000190734863
Gujarat,1978,4.800000190734863
Gujarat,1979,4.599999904632568
Gujarat,1980,4.699999809265137
Gujarat,1981,4.300000190734863
Gujarat,1982,4.199999809265137
Gujarat,1983,4.199999809265137
Gujarat,1984,4
Gujarat,1985,3.9000000953674316
Gujarat,1986,3.799999952316284
Gujarat,1987,3.5999999046325684
Gujarat,1988,3.4000000953674316
Gujarat,1989,3.5999999046325684
Gujarat,1990,3.4000000953674316
Gujarat,1991,3.0999999046325684
Gujarat,1992,3.200000047683716
Gujarat,1993,3.200000047683716
Gujarat,1994,3.0999999046325684
Gujarat,1995,3.200000047683716
Gujarat,1996,3
Gujarat,1997,3
Gujarat,1998,3
Gujarat,1999,3
Gujarat,2000,2.9000000953674316
Gujarat,2001,2.9000000953674316
Gujarat,2002,2.799999952316284
Gujarat,2003,2.799999952316284
Gujarat,2004,2.799999952316284
Gujarat,2005,2.799999952316284
Gujarat,2006,2.700000047683716
Gujarat,2007,2.5999999046325684
Gujarat,2008,2.5
